[?25l[90m|[39m
[35mΓÇó[39m  Fetching functions[1G[J[35mo[39m  Fetching functions[1G[J[35mO[39m  Fetching functions[1G[J[?25h
  
   ID                                   | NAME                               | SLUG                               | STATUS | VERSION | UPDATED_AT (UTC)    
  --------------------------------------|------------------------------------|------------------------------------|--------|---------|---------------------
   d30a4b5b-bda1-4b56-93f9-23b65ca1072b | cache-purge-handler                | cache-purge-handler                | ACTIVE | 1       | 2026-07-17 10:16:50 
   c306fc72-2774-4bd8-b9bd-7e54a689cfa2 | crawl-internal-links               | crawl-internal-links               | ACTIVE | 1       | 2026-07-17 10:16:53 
   f474718d-d84a-40d6-bdf4-9455dfed7129 | email-funnel-sequence              | email-funnel-sequence              | ACTIVE | 1       | 2026-07-17 10:16:56 
   36bed8ee-c254-42f6-a032-29de2574c2fa | kos-agent-optimizer                | kos-agent-optimizer                | ACTIVE | 1       | 2026-07-17 10:17:06 
   7f70c71e-5182-4128-94cb-252ff41f3474 | kos-ai-native                      | kos-ai-native                      | ACTIVE | 1       | 2026-07-17 10:17:09 
   c6bad30c-3667-4a88-b54b-ff40318ef6a0 | kos-ai-translate                   | kos-ai-translate                   | ACTIVE | 1       | 2026-07-17 10:17:16 
   20fdb373-ada5-46fe-a7c3-b9b4be163e92 | kos-atypical-operations-detector   | kos-atypical-operations-detector   | ACTIVE | 1       | 2026-07-17 10:17:20 
   4a7316a1-9b6d-42ee-a899-8c46855f3f6e | kos-auto-development-seed          | kos-auto-development-seed          | ACTIVE | 1       | 2026-07-17 10:17:29 
   426cfedf-6fea-4e21-b23e-f120a1b93685 | kos-automaton-engine               | kos-automaton-engine               | ACTIVE | 1       | 2026-07-17 10:17:32 
   72d170c4-5ffe-4748-a1a6-4bf0c9cf9005 | kos-ayrshare-publisher             | kos-ayrshare-publisher             | ACTIVE | 1       | 2026-07-17 10:17:37 
   d4ce377f-f85b-41bd-99f7-bea22f6ea3b0 | kos-backlink-detect                | kos-backlink-detect                | ACTIVE | 1       | 2026-07-17 10:17:40 
   9a665539-6e59-47b4-b4e0-082069609f52 | kos-backup-automation              | kos-backup-automation              | ACTIVE | 1       | 2026-07-17 10:17:44 
   79a8c6b5-12fc-434e-8d54-341eb15280a6 | kos-banking-stack                  | kos-banking-stack                  | ACTIVE | 1       | 2026-07-17 10:17:47 
   687019b3-fb2b-4fb7-b76e-5773947f4a07 | kos-batch-ingest                   | kos-batch-ingest                   | ACTIVE | 1       | 2026-07-17 10:18:06 
   a78a0e02-8d57-4cd7-9eec-5be97b4cfc95 | kos-beac-cobac-feed-validator      | kos-beac-cobac-feed-validator      | ACTIVE | 1       | 2026-07-17 10:18:12 
   a67dbf67-39f2-4683-a289-b2a1e7449881 | kos-bigfour-quality-review         | kos-bigfour-quality-review         | ACTIVE | 1       | 2026-07-17 10:18:16 
   f6b89934-602c-41cd-bdd0-53e4d110e372 | kos-ca-composition-cobac           | kos-ca-composition-cobac           | ACTIVE | 1       | 2026-07-17 10:18:19 
   51028e27-450b-4db8-ae0f-306648656ac6 | kos-capa-api                       | kos-capa-api                       | ACTIVE | 1       | 2026-07-17 10:18:23 
